"start_date","end_date"
19800218,19800401
19810312,19810502
19830120,19830306
19851022,19851128
19880108,19880225
19881230,19890217
19900328,19900502
19901010,19901120
19920316,19920423
19930105,19930222
19961116,19970107
19970321,19970423
19981015,19981201
20001104,20001228
20010117,20010302
20021210,20030126
20050316,20050424
20081003,20081108
20091025,20091212
20091213,20100204
20111014,20111118
20111119,20111212
20120110,20120213
20120214,20120408
20121011,20121125
20130322,20130428
20160226,20160406
20181127,20190106
20190221,20190401
20200122,20200221
20201107,20201209
